timestamp,elapsed_sec,source,linear_m_s,angular_rad_s,direction,odom_x,odom_y
1774931073.2234,73.2091,cmd_vel,0.000000,0.000000,stop,-0.0066,-0.0025
1774931073.2738,73.2595,cmd_vel,0.000000,0.000000,stop,-0.0066,-0.0025
1774931073.3247,73.3104,cmd_vel,0.000000,0.000000,stop,-0.0066,-0.0025
1774931073.3758,73.3615,cmd_vel,0.000000,0.000000,stop,-0.0066,-0.0025
1774931073.4268,73.4125,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.4781,73.4638,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.5288,73.5145,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.5801,73.5658,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.6313,73.6170,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.6820,73.6677,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.7327,73.7184,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.7833,73.7691,cmd_vel,0.010000,-0.005263,forward,-0.0066,-0.0025
1774931073.8337,73.8194,cmd_vel,0.010000,-0.007937,forward,-0.0066,-0.0025
1774931073.8841,73.8698,cmd_vel,0.010000,-0.007937,forward,-0.0066,-0.0025
1774931073.9348,73.9205,cmd_vel,0.010000,-0.007937,forward,-0.0046,-0.0026
1774931073.9859,73.9716,cmd_vel,0.010000,-0.007937,forward,-0.0046,-0.0026
1774931074.0365,74.0222,cmd_vel,0.010000,-0.009963,forward,-0.0046,-0.0026
1774931074.0872,74.0729,cmd_vel,0.010000,-0.009963,forward,-0.0046,-0.0026
1774931074.1378,74.1235,cmd_vel,0.010000,-0.009963,forward,-0.0026,-0.0026
1774931074.1889,74.1746,cmd_vel,0.010000,-0.009963,forward,-0.0026,-0.0026
