timestamp,elapsed_sec,source,linear_m_s,angular_rad_s,direction,odom_x,odom_y
1774518550.6425,22.2062,cmd_vel,0.000000,0.000000,stop,0.0117,-0.0093
1774518550.6950,22.2587,cmd_vel,0.000000,0.000000,stop,0.0117,-0.0093
1774518550.7456,22.3093,cmd_vel,0.000000,0.000000,stop,0.0117,-0.0093
1774518550.7963,22.3600,cmd_vel,0.000000,0.000000,stop,0.0117,-0.0093
1774518550.8473,22.4111,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518550.8982,22.4620,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518550.9504,22.5141,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518551.0006,22.5644,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518551.0524,22.6161,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518551.1029,22.6666,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518551.1537,22.7174,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518551.2065,22.7702,cmd_vel,0.010000,-0.036842,forward,0.0117,-0.0093
1774518551.2567,22.8205,cmd_vel,0.010000,-0.033063,forward,0.0117,-0.0093
1774518551.3072,22.8709,cmd_vel,0.010000,-0.033063,forward,0.0117,-0.0093
1774518551.3577,22.9214,cmd_vel,0.010000,-0.033063,forward,0.0117,-0.0093
1774518551.4079,22.9716,cmd_vel,0.010000,-0.033063,forward,0.0137,-0.0092
1774518551.4586,23.0223,cmd_vel,0.010000,-0.131400,forward,0.0137,-0.0092
1774518551.5094,23.0731,cmd_vel,0.010000,-0.131400,forward,0.0157,-0.0090
1774518551.5596,23.1233,cmd_vel,0.010000,-0.131400,forward,0.0157,-0.0090
1774518551.6102,23.1739,cmd_vel,0.010000,-0.131400,forward,0.0157,-0.0090
1774518551.6608,23.2245,cmd_vel,0.010000,-0.137900,forward,0.0157,-0.0090
1774518551.7115,23.2752,cmd_vel,0.010000,-0.137900,forward,0.0177,-0.0089
1774518551.7618,23.3255,cmd_vel,0.010000,-0.137900,forward,0.0177,-0.0089
1774518551.8123,23.3760,cmd_vel,0.010000,-0.137900,forward,0.0177,-0.0089
1774518551.8632,23.4269,cmd_vel,0.010000,-0.254100,forward,0.0177,-0.0089
1774518551.9143,23.4780,cmd_vel,0.010000,-0.254100,forward,0.0177,-0.0089
1774518551.9648,23.5285,cmd_vel,0.010000,-0.254100,forward,0.0197,-0.0087
1774518552.0158,23.5795,cmd_vel,0.010000,-0.254100,forward,0.0197,-0.0087
1774518552.0662,23.6299,cmd_vel,0.010000,-0.233100,forward,0.0197,-0.0087
1774518552.1173,23.6810,cmd_vel,0.010000,-0.233100,forward,0.0197,-0.0087
1774518552.1683,23.7320,cmd_vel,0.010000,-0.233100,forward,0.0217,-0.0086
1774518552.2191,23.7828,cmd_vel,0.010000,-0.233100,forward,0.0217,-0.0086
1774518552.2698,23.8336,cmd_vel,0.010000,-0.333100,forward,0.0237,-0.0084
1774518552.3208,23.8846,cmd_vel,0.010000,-0.333100,forward,0.0237,-0.0084
1774518552.3716,23.9353,cmd_vel,0.010000,-0.333100,forward,0.0237,-0.0084
1774518552.4242,23.9879,cmd_vel,0.010000,-0.333100,forward,0.0237,-0.0084
1774518552.4751,24.0388,cmd_vel,0.010000,-0.433100,forward,0.0257,-0.0082
1774518552.5271,24.0908,cmd_vel,0.010000,-0.433100,forward,0.0257,-0.0082
1774518552.5783,24.1420,cmd_vel,0.010000,-0.433100,forward,0.0257,-0.0082
1774518552.6295,24.1933,cmd_vel,0.010000,-0.500000,forward,0.0257,-0.0082
1774518552.6801,24.2439,cmd_vel,0.010000,-0.500000,forward,0.0257,-0.0082
1774518552.7304,24.2942,cmd_vel,0.010000,-0.500000,forward,0.0278,-0.0091
1774518552.7809,24.3446,cmd_vel,0.010000,-0.500000,forward,0.0278,-0.0091
1774518552.8315,24.3952,cmd_vel,0.046000,-0.500000,forward,0.0278,-0.0091
1774518552.8823,24.4460,cmd_vel,0.046000,-0.500000,forward,0.0278,-0.0091
1774518552.9326,24.4964,cmd_vel,0.046000,-0.500000,forward,0.0298,-0.0089
1774518552.9835,24.5472,cmd_vel,0.046000,-0.500000,forward,0.0298,-0.0089
1774518553.0343,24.5980,cmd_vel,0.028000,-0.500000,forward,0.0298,-0.0089
1774518553.0848,24.6485,cmd_vel,0.028000,-0.500000,forward,0.0298,-0.0089
1774518553.1358,24.6995,cmd_vel,0.028000,-0.500000,forward,0.0339,-0.0106
1774518553.1868,24.7505,cmd_vel,0.028000,-0.500000,forward,0.0339,-0.0106
1774518553.2371,24.8009,cmd_vel,0.072400,-0.500000,forward,0.0339,-0.0106
1774518553.2879,24.8517,cmd_vel,0.072400,-0.500000,forward,0.0422,-0.0139
1774518553.3386,24.9023,cmd_vel,0.072400,-0.500000,forward,0.0422,-0.0139
1774518553.3893,24.9530,cmd_vel,0.072400,-0.500000,forward,0.0422,-0.0139
1774518553.4403,25.0040,cmd_vel,0.047440,-0.494737,forward,0.0422,-0.0139
1774518553.4908,25.0545,cmd_vel,0.047440,-0.494737,forward,0.0497,-0.0193
1774518553.5415,25.1052,cmd_vel,0.047440,-0.494737,forward,0.0497,-0.0193
1774518553.5919,25.1556,cmd_vel,0.047440,-0.494737,forward,0.0497,-0.0193
1774518553.6431,25.2068,cmd_vel,0.100000,-0.500000,forward,0.0497,-0.0193
1774518553.6936,25.2574,cmd_vel,0.100000,-0.500000,forward,0.0564,-0.0237
1774518553.7444,25.3081,cmd_vel,0.100000,-0.500000,forward,0.0564,-0.0237
1774518553.7952,25.3589,cmd_vel,0.100000,-0.500000,forward,0.0564,-0.0237
1774518553.8461,25.4099,cmd_vel,0.100000,-0.484211,forward,0.0564,-0.0237
1774518553.8973,25.4611,cmd_vel,0.100000,-0.484211,forward,0.0662,-0.0329
1774518553.9478,25.5115,cmd_vel,0.100000,-0.484211,forward,0.0662,-0.0329
1774518553.9981,25.5619,cmd_vel,0.100000,-0.484211,forward,0.0662,-0.0329
1774518554.0487,25.6124,cmd_vel,0.100000,-0.500000,forward,0.0662,-0.0329
1774518554.0994,25.6631,cmd_vel,0.100000,-0.500000,forward,0.0812,-0.0486
1774518554.1506,25.7143,cmd_vel,0.100000,-0.500000,forward,0.0812,-0.0486
1774518554.2017,25.7655,cmd_vel,0.100000,-0.500000,forward,0.0812,-0.0486
1774518554.2526,25.8163,cmd_vel,0.088000,-0.500000,forward,0.0812,-0.0486
1774518554.3036,25.8674,cmd_vel,0.088000,-0.500000,forward,0.0938,-0.0648
1774518554.3539,25.9176,cmd_vel,0.088000,-0.500000,forward,0.0938,-0.0648
1774518554.4042,25.9679,cmd_vel,0.088000,-0.500000,forward,0.0938,-0.0648
1774518554.4549,26.0187,cmd_vel,0.100000,-0.500000,forward,0.0938,-0.0648
1774518554.5058,26.0695,cmd_vel,0.100000,-0.500000,forward,0.1028,-0.0791
1774518554.5562,26.1199,cmd_vel,0.100000,-0.500000,forward,0.1028,-0.0791
1774518554.6073,26.1710,cmd_vel,0.100000,-0.500000,forward,0.1028,-0.0791
1774518554.6575,26.2213,cmd_vel,0.100000,-0.500000,forward,0.1028,-0.0791
1774518554.7087,26.2724,cmd_vel,0.100000,-0.500000,forward,0.1103,-0.0951
1774518554.7598,26.3235,cmd_vel,0.100000,-0.500000,forward,0.1103,-0.0951
1774518554.8106,26.3743,cmd_vel,0.100000,-0.500000,forward,0.1103,-0.0951
1774518554.8608,26.4245,cmd_vel,0.088000,-0.457895,forward,0.1171,-0.1135
1774518554.9115,26.4752,cmd_vel,0.088000,-0.457895,forward,0.1171,-0.1135
1774518554.9621,26.5258,cmd_vel,0.088000,-0.457895,forward,0.1171,-0.1135
1774518555.0130,26.5767,cmd_vel,0.088000,-0.457895,forward,0.1171,-0.1135
1774518555.0637,26.6274,cmd_vel,0.100000,-0.380332,forward,0.1177,-0.1325
1774518555.1145,26.6782,cmd_vel,0.100000,-0.380332,forward,0.1177,-0.1325
1774518555.1648,26.7285,cmd_vel,0.100000,-0.380332,forward,0.1177,-0.1325
1774518555.2159,26.7796,cmd_vel,0.100000,-0.380332,forward,0.1177,-0.1325
1774518555.2666,26.8303,cmd_vel,0.100000,-0.354017,forward,0.1206,-0.1503
1774518555.3168,26.8805,cmd_vel,0.100000,-0.354017,forward,0.1206,-0.1503
