timestamp,elapsed_sec,source,linear_m_s,angular_rad_s,direction,odom_x,odom_y
1774506457.3780,25.5333,cmd_vel,0.000000,0.000000,stop,,
1774506457.4293,25.5846,cmd_vel,0.000000,0.000000,stop,,
1774506457.4806,25.6359,cmd_vel,0.000000,0.000000,stop,,
1774506457.5318,25.6871,cmd_vel,0.000000,0.000000,stop,,
1774506457.5831,25.7384,cmd_vel,0.060000,-0.100000,forward,,
1774506457.6336,25.7889,cmd_vel,0.060000,-0.100000,forward,,
1774506457.6848,25.8402,cmd_vel,0.060000,-0.100000,forward,,
1774506457.7363,25.8916,cmd_vel,0.060000,-0.100000,forward,,
1774506457.7872,25.9425,cmd_vel,0.060000,-0.100000,forward,,
1774506457.8390,25.9943,cmd_vel,0.060000,-0.100000,forward,,
1774506457.8897,26.0450,cmd_vel,0.060000,-0.100000,forward,,
1774506457.9409,26.0962,cmd_vel,0.060000,-0.100000,forward,,
1774506457.9921,26.1475,cmd_vel,0.050000,-0.100000,forward,,
1774506458.0434,26.1988,cmd_vel,0.050000,-0.100000,forward,,
1774506458.0939,26.2492,cmd_vel,0.050000,-0.100000,forward,,
1774506458.1449,26.3002,cmd_vel,0.050000,-0.100000,forward,,
1774506458.1959,26.3512,cmd_vel,0.060000,-0.100000,forward,,
1774506458.2465,26.4018,cmd_vel,0.060000,-0.100000,forward,,
1774506458.2970,26.4523,cmd_vel,0.060000,-0.100000,forward,,
1774506458.3498,26.5052,cmd_vel,0.060000,-0.100000,forward,,
1774506458.4009,26.5563,cmd_vel,0.050000,-0.100000,forward,,
1774506458.4516,26.6069,cmd_vel,0.050000,-0.100000,forward,,
1774506458.5020,26.6573,cmd_vel,0.050000,-0.100000,forward,,
1774506458.5524,26.7078,cmd_vel,0.050000,-0.100000,forward,,
1774506458.6055,26.7608,cmd_vel,0.050000,-0.100000,forward,,
1774506458.6566,26.8120,cmd_vel,0.050000,-0.100000,forward,,
1774506458.7080,26.8633,cmd_vel,0.050000,-0.100000,forward,,
1774506458.7593,26.9146,cmd_vel,0.050000,-0.100000,forward,,
1774506458.8106,26.9659,cmd_vel,0.060000,-0.047368,forward,,
1774506458.8611,27.0164,cmd_vel,0.060000,-0.047368,forward,,
1774506458.9122,27.0675,cmd_vel,0.060000,-0.047368,forward,,
1774506458.9635,27.1189,cmd_vel,0.060000,-0.047368,forward,,
1774506459.0141,27.1694,cmd_vel,0.060000,-0.100000,forward,,
1774506459.0653,27.2206,cmd_vel,0.060000,-0.100000,forward,,
1774506459.1169,27.2722,cmd_vel,0.060000,-0.100000,forward,,
1774506459.1679,27.3232,cmd_vel,0.060000,-0.100000,forward,,
1774506459.2185,27.3739,cmd_vel,0.060000,-0.015789,forward,,
1774506459.2692,27.4245,cmd_vel,0.060000,-0.015789,forward,,
1774506459.3205,27.4759,cmd_vel,0.060000,-0.015789,forward,,
1774506459.3719,27.5272,cmd_vel,0.060000,-0.015789,forward,,
1774506459.4232,27.5785,cmd_vel,0.050000,0.005263,forward,,
1774506459.4738,27.6292,cmd_vel,0.050000,0.005263,forward,,
1774506459.5245,27.6799,cmd_vel,0.050000,0.005263,forward,,
1774506459.5756,27.7309,cmd_vel,0.060000,0.015789,forward,,
1774506459.6261,27.7814,cmd_vel,0.060000,0.015789,forward,,
1774506459.6769,27.8322,cmd_vel,0.060000,0.015789,forward,,
1774506459.7282,27.8835,cmd_vel,0.060000,0.015789,forward,,
1774506459.7796,27.9349,cmd_vel,0.050000,0.068421,forward,,
1774506459.8308,27.9861,cmd_vel,0.050000,0.068421,forward,,
1774506459.8821,28.0374,cmd_vel,0.050000,0.068421,forward,,
1774506459.9330,28.0883,cmd_vel,0.050000,0.068421,forward,,
1774506459.9844,28.1397,cmd_vel,0.060000,0.036842,forward,,
1774506460.0357,28.1911,cmd_vel,0.060000,0.036842,forward,,
1774506460.0870,28.2423,cmd_vel,0.060000,0.036842,forward,,
1774506460.1379,28.2932,cmd_vel,0.060000,0.036842,forward,,
1774506460.1887,28.3441,cmd_vel,0.050000,0.078947,forward,,
1774506460.2399,28.3952,cmd_vel,0.050000,0.078947,forward,,
1774506460.2904,28.4458,cmd_vel,0.050000,0.078947,forward,,
1774506460.3423,28.4977,cmd_vel,0.050000,0.078947,forward,,
1774506460.3935,28.5488,cmd_vel,0.060000,0.068421,forward,,
1774506460.4448,28.6001,cmd_vel,0.060000,0.068421,forward,,
1774506460.4955,28.6508,cmd_vel,0.060000,0.068421,forward,,
1774506460.5468,28.7022,cmd_vel,0.060000,0.068421,forward,,
1774506460.5981,28.7535,cmd_vel,0.060000,0.000000,forward,,
1774506460.6487,28.8041,cmd_vel,0.060000,0.000000,forward,,
1774506460.6999,28.8552,cmd_vel,0.060000,0.000000,forward,,
1774506460.7503,28.9056,cmd_vel,0.060000,0.000000,forward,,
1774506460.8016,28.9569,cmd_vel,0.060000,0.078947,forward,,
1774506460.8520,29.0073,cmd_vel,0.060000,0.078947,forward,,
1774506460.9031,29.0585,cmd_vel,0.060000,0.078947,forward,,
1774506460.9545,29.1099,cmd_vel,0.060000,0.078947,forward,,
1774506461.0054,29.1608,cmd_vel,0.060000,0.068421,forward,,
1774506461.0567,29.2120,cmd_vel,0.060000,0.068421,forward,,
1774506461.1080,29.2633,cmd_vel,0.060000,0.068421,forward,,
1774506461.1587,29.3140,cmd_vel,0.060000,0.068421,forward,,
1774506461.2095,29.3648,cmd_vel,0.050000,0.068421,forward,,
1774506461.2608,29.4161,cmd_vel,0.050000,0.068421,forward,,
1774506461.3119,29.4672,cmd_vel,0.050000,0.068421,forward,,
1774506461.3634,29.5187,cmd_vel,0.050000,0.068421,forward,,
1774506461.4147,29.5700,cmd_vel,0.040000,0.068421,forward,,
1774506461.4659,29.6213,cmd_vel,0.040000,0.068421,forward,,
1774506461.5184,29.6737,cmd_vel,0.040000,0.068421,forward,,
1774506461.5695,29.7248,cmd_vel,0.040000,0.068421,forward,,
1774506461.6208,29.7761,cmd_vel,0.060000,0.089474,forward,,
1774506461.6721,29.8274,cmd_vel,0.060000,0.089474,forward,,
1774506461.7233,29.8786,cmd_vel,0.060000,0.089474,forward,,
1774506461.7746,29.9300,cmd_vel,0.060000,0.047368,forward,,
1774506461.8255,29.9808,cmd_vel,0.060000,0.047368,forward,,
1774506461.8768,30.0321,cmd_vel,0.060000,0.047368,forward,,
